Total Eclipse of the Heart,Music
Abraham Lincoln,Person
Benedict Cumberbatch,Person
Lady Gaga,Person
How I Met Your Mother,Film & TV
Michelle Obama,Person
The Beatles,Music
Edgar Allan Poe,Person
Moby Dick,Literature
I Dream of Jeanie,Film & TV
Richard Nixon,Person
Bram Stoker's Dracula,Literature
"Cairo, Egypt",Geography
Ernest Hemingway,Person
The Lord of the Rings,Literature
The Girl with the Dragon Tattoo,Literature
The Hunger Games,Literature
"Montevideo, Uruguay",Geography
Law and Order: Special Victims Unit,Film & TV
Animal Farm,Literature
Nelson Mandela,Person
Christopher Walken,Person
Sleepless in Seattle,Film & TV
Albert Einstein,Person
The Great Gatsby,Literature
Romeo and Juliet,Literature
The Importance of Being Earnest,Literature
Flowers for Algernon,Literature
Hillary Rodham Clinton,Person
The Princess Bride,Literature
Vaclav Havel,Literature
A Midsummer Night's Dream,Literature
Legally Blonde,Film & TV
Whose Line Is It Anyway?,Film & TV
Buffy the Vampire Slayer,Film & TV
"Stockholm, Sweden",Geography
"Reykjavik, Iceland",Geography
"Pretoria, South Africa",Geography
Eternal Sunshine of the Spotless Mind,Film & TV
Maya Angelou,Person
Arrested Development,Film & TV
Oprah Winfrey,Person
"Martin Luther King, Jr.",Person
Monty Python and the Holy Grail,Film & TV
Murder on the Orient Express,Literature
Home Alone,Film & TV
To Kill a Mockingbird,Literature
"Canberra, Australia",Geography
"Jerusalem, Israel",Geography
"Madrid, Spain",Geography
"Beijing, China",Geography
"Tokyo, Japan",Geography
"Dublin, Ireland",Geography
Johann Sebastian Bach,Person
Wolfgang Amadeus Mozart,Person
Moonlight Sonata,Music
Stayin' Alive,Music
Bohemian Rhapsody,Music
